LCD ,PLD,LFPD ,Density,PV(1),PV(2),PV(3),Dia,Pol,Dip,Qua ,Diffusion_Coefficient(?2/ps),D_LOG
10.21407,10.08223,10.21407,0.576868,5501.53,0.70186,1.21667,2.89,8.042,0,0.662,0.0249,-1.604621685
31.85404,24.57474,31.85404,0.0787029,55138.4,0.9597,12.194,2.89,8.042,0,0.662,0.0266,-1.575846596
14.87352,14.64627,14.87352,0.514154,3209.81,0.72348,1.40713,2.89,8.042,0,0.662,0.00172,-2.765612647
27.1243,26.94167,27.1243,0.557109,2730.41,0.75146,1.34886,2.89,8.042,0,0.662,0.00169,-2.771098591
10.56229,9.7242,10.56229,1.08544,2070.24,0.5707,0.525779,2.89,8.042,0,0.662,0.00162,-2.790280059
24.1474,23.89316,24.1474,0.553379,4152.71,0.70558,1.27504,2.89,8.042,0,0.662,0.00255,-2.594084101
17.17805,16.82414,17.17805,0.776836,2711.26,0.59818,0.770021,2.89,8.042,0,0.662,0.00479,-2.319950037
10.18081,9.74184,10.18081,0.941407,414.417,0.57538,0.611192,2.89,8.042,0,0.662,0.000738,-3.131790551
14.58188,13.58509,14.58188,0.540007,2615.81,0.70796,1.31102,2.89,8.042,0,0.662,0.00196,-2.707430114
21.55177,21.34031,21.55177,0.624586,2024.83,0.70852,1.13438,2.89,8.042,0,0.662,0.00149,-2.827214605
9.51609,9.06842,9.51559,0.997288,888.96,0.48302,0.484334,2.89,8.042,0,0.662,0.00132,-2.878061694
15.98839,15.60159,15.98839,0.572273,1110.91,0.70816,1.23745,2.89,8.042,0,0.662,0.00195,-2.710156223
9.02368,8.40883,9.02368,0.920131,1439.58,0.52898,0.574897,2.89,8.042,0,0.662,0.000653,-3.184966186
11.16226,10.67786,11.16226,0.780597,672.384,0.59456,0.761674,2.89,8.042,0,0.662,0.00174,-2.758548013
35.70981,35.49808,35.70981,0.31965,5644,0.83738,2.61968,2.89,8.042,0,0.662,0.00423,-2.373173641
11.69348,11.24577,11.69348,0.734525,967.888,0.61976,0.843757,2.89,8.042,0,0.662,0.0015,-2.824115705
17.40167,17.10247,17.40167,0.894295,1660.23,0.52224,0.583969,2.89,8.042,0,0.662,0.00256,-2.592091557
23.86923,22.83776,23.86923,0.289383,10481.3,0.8601,2.97219,2.89,8.042,0,0.662,0.0051,-2.292075737
25.75548,25.24971,25.75548,0.299344,6623.9,0.84754,2.83133,2.89,8.042,0,0.662,0.00299,-2.524564638
24.06097,23.81541,24.06097,0.526621,2074.52,0.72056,1.36827,2.89,8.042,0,0.662,0.00204,-2.690109368
32.23268,32.05738,32.23268,0.420264,3491.49,0.77422,1.84222,2.89,8.042,0,0.662,0.00313,-2.504348891
17.68947,16.88399,17.68947,0.336022,7768.55,0.81256,2.41818,2.89,8.042,0,0.662,0.00313,-2.504365233
38.18266,38.02857,38.18266,0.333128,5025.82,0.82272,2.46968,2.89,8.042,0,0.662,0.00322,-2.492207946
38.88744,38.73241,38.88744,0.312834,6305.04,0.84332,2.69574,2.89,8.042,0,0.662,0.00414,-2.383167958
37.65744,37.56498,37.65744,0.28212,6676.69,0.85454,3.029,2.89,8.042,0,0.662,0.00368,-2.434461039
26.54457,26.35383,26.54457,0.473778,2749.37,0.76606,1.61692,2.89,8.042,0,0.662,0.00456,-2.341210405
26.05323,25.82277,26.05323,0.498003,2451.37,0.77472,1.55565,2.89,8.042,0,0.662,0.00495,-2.30574477
38.87485,38.80415,38.87485,0.373454,9555.99,0.80212,2.14784,2.89,8.042,0,0.662,0.00125,-2.902162127
13.00429,12.63935,13.00429,0.731549,1044.37,0.64652,0.883768,2.89,8.042,0,0.662,0.00219,-2.659439998
19.17629,19.01342,19.17629,0.539523,2361.62,0.73848,1.36876,2.89,8.042,0,0.662,0.0034,-2.469157465
27.20541,27.09753,27.20541,0.441404,3221.07,0.78752,1.78413,2.89,8.042,0,0.662,0.00314,-2.502718617
39.10948,38.96493,39.10948,0.311939,5155.07,0.83528,2.6777,2.89,8.042,0,0.662,0.00394,-2.404263817
26.20447,25.97265,26.20447,0.428917,3423.37,0.76662,1.78734,2.89,8.042,0,0.662,0.0022,-2.656897599
20.51183,20.23243,20.51183,0.684314,1764.5,0.69984,1.02269,2.89,8.042,0,0.662,0.00111,-2.953007956
21.48053,21.23186,21.48053,0.454968,4553.03,0.773,1.69902,2.89,8.042,0,0.662,0.00264,-2.579202575
23.97144,23.07162,23.97144,0.288664,10261.9,0.85508,2.9622,2.89,8.042,0,0.662,0.00222,-2.653690381
22.50394,21.57577,22.50394,0.30371,4915.59,0.85542,2.81657,2.89,8.042,0,0.662,0.00444,-2.352289247
11.55953,10.6711,11.55953,0.842507,3483.8,0.57244,0.679448,2.89,8.042,0,0.662,0.00162,-2.791637472
18.83659,18.67205,18.83659,0.719774,1527.47,0.65308,0.90734,2.89,8.042,0,0.662,0.00161,-2.793878599
2.61798,1.30291,2.61798,1.66978,37.8183,0.24832,0.148714,2.89,8.042,0,0.662,0.0000786,-4.104842772
8.94082,8.40705,8.94082,1.01943,317.896,0.5077,0.498024,2.89,8.042,0,0.662,0.000906,-3.042837016
10.99477,10.55911,10.99477,0.904999,546.134,0.55678,0.615227,2.89,8.042,0,0.662,0.00154,-2.812636488
4.88531,3.31316,4.88531,0.904999,1083.91,0.55252,0.61052,2.89,8.042,0,0.662,0.000389,-3.409739202
6.73972,6.02452,6.73972,1.03186,197.222,0.52324,0.507083,2.89,8.042,0,0.662,0.000607,-3.216580732
4.26332,3.26705,4.26332,1.33308,231.958,0.34834,0.261304,2.89,8.042,0,0.662,0.000263,-3.580457093
18.84775,18.34128,18.84681,0.539056,4600.06,0.74924,1.38991,2.89,8.042,0,0.662,0.00279,-2.554558379
25.14658,24.94079,25.14658,0.410524,7092.78,0.80532,1.96169,2.89,8.042,0,0.662,0.00251,-2.599539054
